y1,h1,y2,h2,snr_db,b1,b2
1.975286504262681486e+00,-1.221599714117631574e+00,1.826314056662069918e+00,-1.459557758468361666e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.954489259051098937e-02,-2.202324340383689627e+00,6.696031368515872328e-01,-1.287233020707898357e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-2.994423631213227743e-02,-2.442701588242270461e+00,-3.160325059621980071e-01,1.155559293032907497e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-8.499357943485165157e-01,2.886727482764859798e-01,-1.409984454471016280e+00,3.111340511492223862e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-2.995066524921309314e-01,-1.157495785215237744e-01,9.278696555583219041e-01,-1.637665977332617429e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.611470748734763925e+00,1.326455654218637426e+00,8.137946729625034070e-01,8.362284736699644727e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.053097747185964828e-01,4.497328670538464079e-01,9.879593169164350153e-01,7.593488817528474266e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.498793862123230181e+00,1.536914657851775612e+00,1.419754814047238911e+00,1.542449957480651612e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.223889937492448343e-01,8.542395708661654208e-01,-4.037456422298422720e-01,-8.043706990839846194e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-1.379176813654889422e+00,-9.692122677149153098e-01,6.479037307362481846e-01,1.555962710834075946e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.147245171153991272e+00,-2.089185081471500727e-01,-3.699718224017102264e-01,-8.363763240248129893e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.472473346832979146e-01,-8.695135925626426010e-01,1.077274076483889509e+00,-1.722413342665660485e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-1.477646434263278241e+00,-3.406238246521575697e-01,-1.123184426469767683e+00,-1.021784150332107233e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
7.340782805340561046e-01,-5.419393474177671699e-01,1.319977065804179173e+00,-8.080405507182951419e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.122759221828776077e-01,-2.589914932074676157e-01,4.862460626167559030e-01,-5.639669215750278131e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
-7.272064569608762685e-01,1.331681693520905929e+00,1.140859914522141194e+00,-2.857464628793066619e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.078828903417051066e+00,-5.802229682644056696e-01,-2.975076573408230729e-03,-5.366797577652036022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.952698284236355497e-01,-1.223605672562378954e+00,2.693288118017184707e-01,1.774921222122922415e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
-2.656189388107721427e-02,-6.603574856707067342e-01,-2.239446045311890732e+00,2.218086540576295285e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.821393591322250982e-01,-5.060885778390271650e-01,-4.871643621920686007e-01,5.386157972653090598e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.147088436905254305e+00,-6.109015926298551058e-01,-2.595845310894446811e-01,9.854197647439194574e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.912477577581124910e-01,-1.969761948919232508e-01,2.337538707634695623e+00,1.952862572010470643e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.140520620483825409e-01,-4.577288112847932022e-01,1.644029571493207942e-01,-1.421146745641142850e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.491568054525448384e-01,1.087709444081479404e+00,2.353090015838469329e-01,-1.254407088946978055e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.710118137716893472e-02,8.879292985833442398e-01,-1.880760444958969324e-01,-8.428808386342794279e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.523569041316945594e-01,-7.870618682187585646e-01,1.832028235818198958e+00,-1.326775240189548066e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.261425286499126885e-01,9.621469661152450836e-01,1.989975735412957247e+00,1.060736445289867103e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-1.250901878124379030e+00,1.379351073138994632e+00,2.329051180449101643e+00,-1.221865092446899004e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.020910438155551381e+00,-1.560487332437067443e-02,1.236263722204065552e+00,-6.988667201952400987e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.589093675415077733e+00,-8.631090312542064602e-01,-9.312705843903410496e-01,9.371068913017611690e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.633600872545140081e-01,4.182139301333268055e-01,4.228147369292628577e-01,-8.717373101699188442e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-1.306122248212922221e+00,-9.627372546806901854e-02,-7.451028381384905419e-01,2.368109227597057498e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-4.284950401473119896e-01,3.213157868412904183e-01,1.606076195661087169e+00,8.067684088961603051e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
-2.074254891540175727e+00,-1.076524946386423709e+00,-7.658691938736617022e-01,-6.832183438685898169e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
